timeStart duration
0 0
0 0
9223372036854 539
9223372036854 124
9223372036854 122
9223372036854 103
9223372036854 138
9223372036854 968
9223372036854 79
9223372036854 63
9223372036854 60
9223372036854 86
9223372036854 111
9223372036854 70
9223372036854 192
9223372036854 65
9223372036854 64
9223372036854 40
9223372036854 67
9223372036854 70
9223372036854 89
9223372036854 55
9223372036854 75
9223372036854 78
9223372036854 73
9223372036854 73
9223372036854 110
9223372036854 57
9223372036854 49
9223372036854 67
9223372036854 76
9223372036854 59
9223372036854 48
9223372036854 64
9223372036854 50
9223372036854 74
9223372036854 127
9223372036854 94
9223372036854 110
9223372036854 38
9223372036854 99
9223372036854 77
9223372036854 87
9223372036854 77
9223372036854 46
9223372036854 66
9223372036854 69
9223372036854 55
9223372036854 102
9223372036854 184
9223372036854 104
9223372036854 82
9223372036854 82
9223372036854 76
9223372036854 119
9223372036854 82
9223372036854 63
9223372036854 72
9223372036854 93
9223372036854 90
9223372036854 87
9223372036854 125
9223372036854 95
9223372036854 94
9223372036854 82
9223372036854 65
9223372036854 96
9223372036854 80
9223372036854 101
9223372036854 83
9223372036854 127
9223372036854 732
9223372036854 607
9223372036854 455
9223372036854 629
9223372036854 545
9223372036854 116
9223372036854 345
9223372036854 338
9223372036854 292
9223372036854 184
9223372036854 1048
9223372036854 305
9223372036854 135
9223372036854 120
9223372036854 118
9223372036854 372
9223372036854 320
9223372036854 113
9223372036854 671
9223372036854 118
9223372036854 106
9223372036854 132
9223372036854 173
9223372036854 189
9223372036854 199
9223372036854 52
9223372036854 58
9223372036854 43
9223372036854 77
9223372036854 44
9223372036854 77
9223372036854 106
9223372036854 82
9223372036854 68
9223372036854 46
9223372036854 46
9223372036854 65
9223372036854 75
9223372036854 46
9223372036854 42
9223372036854 46
9223372036854 108
9223372036854 69
9223372036854 68
9223372036854 65
9223372036854 93
9223372036854 2228
9223372036854 701
9223372036854 135
9223372036854 561
9223372036854 605
9223372036854 78
9223372036854 71
9223372036854 144
9223372036854 404
9223372036854 70
9223372036854 75
9223372036854 70
9223372036854 71
9223372036854 82
9223372036854 245
9223372036854 199
9223372036854 85
9223372036854 81
9223372036854 81
9223372036854 83
9223372036854 80
9223372036854 121
9223372036854 146
9223372036854 106
9223372036854 123
9223372036854 108
9223372036854 99
9223372036854 40
9223372036854 60
9223372036854 49
9223372036854 67
9223372036854 52
9223372036854 57
9223372036854 60
9223372036854 68
9223372036854 64
9223372036854 63
9223372036854 53
9223372036854 55
9223372036854 64
9223372036854 41
9223372036854 51
9223372036854 60
9223372036854 58
9223372036854 60
9223372036854 60
9223372036854 38
9223372036854 70
9223372036854 40
9223372036854 55
9223372036854 52
9223372036854 84
